"","Community","Geo_Group","X","Geo_ID","N_Violent_19","Crowded_Housing_._1216","Income_Diversity_1418","Vegetation_Index_17","Vacant_Housing_._1216","Aerosol_Optical_Depth_17","Overall_Health_Status_._1618","Foreign_Born_._1216","Single_Parents_Households1216","Neighborhood_Safety_._1618","Mobility.Rate_2018","X65._._2018","Total_Population_2018","Total_Population.1000","Big_Community..66p.","X._Poverty_2018","X._0.4_2018","X._5.17_2018","X._0.17","Covid_Cases_0905","Covid_Deaths_0905","Covid_Cases_Rate10k","Covid_Death_Rate10k","Has_Police","N_Active_Business_Licenses","Active_Bus_Rate_10k","Burglary_2019","Burglary_Rate_19_10k","Assault_2019","Assault_Rate_19_10k","Narcotics_2019","Narcotics_Rate_10k","Robbery_2019","Robbery_Rate_10k","Burglary","Burglary p val","Burglary_Sig","burglary_sig_drop","Assault","Assault p val","Assault_Sig","assault_sig_drop","Narcotics","Narcotics p val","Narcotics_Sig","narcotics_sig_drop","Robbery","Robbery p val","Robbery_Sig","robbery_sig_drop"
"43",43,"43-South Shore","South Shore",43,292,3.459821429,55.9,0.3,22.3,0.173,79.7,3.1,17.2,54.8,24.4,13.2,48479,48.479,1,38.8,7.8,16.5,24.3,1667,127,343.8602281,70.92972795,1,1844,380.3708822,510,105.2001898,768,158.4191093,385,79.41582953,293,60.4385404,-0.165437394115782,0.183516483516484,0,"0",-0.249710641219573,0.00714285714285714,1,"1",-0.85153812452313,0.00101729399796541,1,"1",-0.285790123546217,0.0891783567134269,0,"0"
"44",44,"44-Chatham","Chatham",44,248,3.151586891,56.6,0.3,18.5,0.16,84.2,2,17.2,66.3,14.1,15.5,31071,31.071,0,26.7,7.5,15,22.5,1514,98,487.2710888,156.8250423,1,1694,545.2029223,282,90.75987255,698,224.6467767,284,91.40355959,250,80.4608799,-0.192709847097158,0.146490335707019,0,"0",-0.289091430289582,0.0169491525423729,1,"1",-0.849248232874746,0.00139664804469274,1,"1",-0.512052696725441,0.00623441396508728,1,"1"
"45",45,"45-Avalon Park","Avalon Park",45,49,2.622107969,62.8,0.29,13.9,0.163,73.3,1.5,12.7,56,29.6,20.3,10034,10.034,0,19.2,7.8,12.5,20.3,1382,77,1377.317122,1372.650111,1,1789,1782.938011,57,56.80685669,124,123.5798286,75,74.74586406,30,29.8983456,0.131303333126347,0.384244372990354,0,"0",-0.591234529122292,0.0470941883767535,1,"1",-0.840522408245453,0.00838574423480084,1,"1",-0.541604213834494,0.227272727272727,0,"0"
"46",46,"46-South Chicago","South Chicago",46,190,3.657701711,56.9,0.33,27.4,0.19,76.6,10.2,20.4,52.7,19.1,15.1,28263,28.263,0,30.1,7.8,18.2,26,1269,108,448.9969218,158.863858,1,1449,512.6844284,167,59.08785338,429,151.7885575,239,84.56285603,121,42.8121572,-0.430327821045443,0.0996948118006104,0,"0",-0.15489158636387,0.236694677871148,0,"0",-0.970600655875625,0.001,1,"1",-0.214592125738664,0.289579158316633,0,"0"
"47",47,"47-Burnside","Burnside",47,27,4.211663067,55.7,0.3,29,0.148,58.9,3.8,9.8,48.8,31.4,26.4,2254,2.254,0,17.6,0.7,14,14.7,684,41,3034.605146,13463.19941,0,853,3784.383319,20,88.73114463,35,155.2795031,24,106.4773736,19,84.2945874,-1,0.142259414225941,0,"0",0.0887446180073146,0.453161592505855,0,"0",-1,0.04,1,"1",-1,0.172959805115713,0,"0"
"48",48,"48-Calumet Heights","Calumet Heights",48,49,2.019630049,64,0.3,12,0.158,77,5.3,9,86.4,7.6,23.7,13188,13.188,0,16,2.8,11.2,14,1382,77,1047.922354,794.6029373,1,1789,1356.536245,42,31.84713376,114,86.4422202,84,63.69426752,40,30.3306036,-0.546692705572708,0.118,0,"0",-0.573665069169094,0.0440476190476191,1,"1",-0.803988878748923,0.0252631578947368,1,"1",0.0352139578680677,0.489092996555683,0,"0"
"49",49,"49-Roseland","Roseland",49,287,2.311620204,60.8,0.36,19,0.161,75.4,2.1,16.3,64.8,19.4,17.9,42433,42.433,1,26.9,5.4,18.5,23.9,2289,158,539.4386445,127.1271521,1,2417,569.6038461,226,53.2604341,565,133.1510852,279,65.75071289,201,47.3687932,0.00225500577244847,0.5,0,"0",-0.0461951605854743,0.358543417366947,0,"0",-0.720951282979164,0.0023696682464455,1,"1",-0.266745172726057,0.165105386416862,0,"0"
"50",50,"50-Pullman","Pullman",50,36,2.05594877,60.6,0.32,14.5,0.175,87.9,3.7,19.3,79.2,18.6,17.2,6613,6.613,0,21.4,6.5,12.2,18.7,1535,102,2321.185544,3510.03409,1,1677,2535.914109,44,66.53561167,113,170.8755482,41,61.9990927,21,31.7556328,-0.559797518184237,0.0761124121779859,0,"0",-0.15208570880511,0.367,0,"0",-1,0.0600600600600601,0,"0",0.0617425935528014,0.457112970711297,0,"0"
"51",51,"51-South Deering","South Deering",51,58,3.212290503,58.4,0.32,13.1,0.184,82.5,12.1,16.8,60.3,14.4,17,14614,14.614,0,28.9,4.9,21.4,26.3,774,37,529.6291228,362.4121546,1,1037,709.5935404,56,38.31941973,204,139.5921719,68,46.53072396,46,31.4766662,-0.175157462287357,0.378995433789954,0,"0",0.182381980907355,0.2,0,"0",-0.528907386243143,0.141403865717192,0,"0",-0.103436275935409,0.399799599198397,0,"0"
"52",52,"52-East Side","East Side",52,37,5.134581627,61.1,0.31,11.8,0.181,78.3,29,14,62.3,7.9,10.9,23771,23.771,0,20.9,6.7,23.4,30.1,698,36,293.6351016,123.5266087,1,936,393.757099,31,13.0411005,106,44.5921501,49,20.6133524,19,7.9929326,-0.830771768543201,0.061,0,"0",-0.457673484495492,0.0533175355450237,0,"0",-0.844982489632152,0.0571761960326721,0,"0",-0.494630002302209,0.373536299765808,0,"0"
