"","Actual","Pred","Pred.lower","Pred.upper","Pred.sd","AbsEffect","AbsEffect.lower","AbsEffect.upper","AbsEffect.sd","RelEffect","RelEffect.lower","RelEffect.upper","RelEffect.sd","alpha","p"
"29.Cumulative",97,96.5659312184469,69.120237801311,126.912596448892,15.0806700398373,0.434068781553123,-29.9125964488925,27.879762198689,15.0806700398373,0.00449505095716617,-0.309763454579293,0.288712197427276,0.156169674434377,0.05,0.494397759103641
"3.Average",0.45,0.709873320934748,0.438133319689473,0.951526359320894,0.134846419445581,-0.259873320934748,-0.501526359320894,0.011866680310526,0.134846419445581,-0.366084079047444,-0.706501208779749,0.0167166168393258,0.189958427044445,0.05,0.029029029029029
"3.Cumulative",27,42.5923992560849,26.2879991813684,57.0915815592536,8.09078516673485,-15.5923992560849,-30.0915815592536,0.712000818631557,8.09078516673485,-0.366084079047444,-0.706501208779749,0.0167166168393258,0.189958427044445,0.05,0.029029029029029
"30.Average",0.7,0.934587936641564,0.592636382333836,1.25901898890075,0.167872730772047,-0.234587936641564,-0.559018988900751,0.107363617666164,0.167872730772047,-0.251006810000731,-0.598144879667056,0.11487802640806,0.179622188764063,0.05,0.076
"30.Cumulative",42,56.0752761984938,35.5581829400302,75.541139334045,10.0723638463228,-14.0752761984938,-33.541139334045,6.44181705996984,10.0723638463228,-0.25100681000073,-0.598144879667056,0.11487802640806,0.179622188764063,0.05,0.076
"31.Average",0.466666666666667,0.500074971737979,0.251192307145142,0.76417811220407,0.130292286827093,-0.0334083050713124,-0.297511445537403,0.215474359521525,0.130292286827093,-0.066806592929864,-0.594933684650166,0.430884110781744,0.260545506555288,0.05,0.396118721461187
"31.Cumulative",28,30.0044983042787,15.0715384287085,45.8506867322442,7.81753720962558,-2.00449830427874,-17.8506867322442,12.9284615712915,7.81753720962558,-0.066806592929864,-0.594933684650165,0.430884110781744,0.260545506555288,0.05,0.396118721461187
"32.Average",0.6,1.18070376859955,0.788739176445241,1.55474262081593,0.194537410808452,-0.580703768599547,-0.954742620815931,-0.188739176445241,0.194537410808452,-0.491828504357473,-0.808621642622829,-0.159853115967528,0.164763945014926,0.05,0.00459242250287026
"32.Cumulative",36,70.8422261159728,47.3243505867144,93.2845572489558,11.6722446485071,-34.8422261159728,-57.2845572489558,-11.3243505867144,11.6722446485071,-0.491828504357473,-0.808621642622829,-0.159853115967528,0.164763945014926,0.05,0.00459242250287026
"33.Average",0.266666666666667,0.401670308968082,0.198166423414548,0.606203015282835,0.107358456622936,-0.135003642301416,-0.339536348616168,0.0685002432521184,0.107358456622936,-0.336105605236914,-0.845311044992246,0.17053847825621,0.267280040933935,0.05,0.108938547486034
"33.Cumulative",16,24.1002185380849,11.8899854048729,36.3721809169701,6.44150739737613,-8.10021853808495,-20.3721809169701,4.1100145951271,6.44150739737613,-0.336105605236914,-0.845311044992246,0.17053847825621,0.267280040933935,0.05,0.108938547486034
"34.Average",0.216666666666667,0.21830384993636,0.0468429089397105,0.385111076537038,0.0863249145466656,-0.00163718326969303,-0.168444409870371,0.169823757726956,0.0863249145466656,-0.00749956205614471,-0.771605310302482,0.777923787310499,0.395434686890914,0.05,0.486363636363636
"34.Cumulative",13,13.0982309961816,2.81057453638263,23.1066645922223,5.17949487279993,-0.0982309961815826,-10.1066645922223,10.1894254636174,5.17949487279993,-0.00749956205614476,-0.771605310302482,0.7779237873105,0.395434686890914,0.05,0.486363636363636
"35.Average",0.35,0.671220658387151,0.390753458821191,0.932088882060237,0.139476364054926,-0.321220658387151,-0.582088882060238,-0.0407534588211912,0.139476364054926,-0.478561936932929,-0.867209426269619,-0.060715441802873,0.207795100332681,0.05,0.011011011011011
"35.Cumulative",21,40.2732395032291,23.4452075292715,55.9253329236142,8.36858184329557,-19.2732395032291,-34.9253329236143,-2.44520752927147,8.36858184329557,-0.478561936932929,-0.867209426269619,-0.060715441802873,0.207795100332681,0.05,0.011011011011011
"36.Average",0.233333333333333,0.117755948448033,-0.0321778435830821,0.264440462275233,0.0752211654976146,0.1155773848853,-0.0311071289419,0.265511176916415,0.0752211654976146,0.981499333227359,-0.264166093958538,2.25475808581838,0.638788668334749,0.05,0.0637204522096608
"36.Cumulative",14,7.065356906882,-1.93067061498493,15.866427736514,4.51326992985687,6.934643093118,-1.866427736514,15.9306706149849,4.51326992985687,0.981499333227358,-0.264166093958538,2.25475808581838,0.638788668334749,0.05,0.0637204522096608
"37.Average",0.166666666666667,0.207421528160875,0.0559869013935334,0.363284361147851,0.0797976124743235,-0.0407548614942085,-0.196617694481185,0.110679765273133,0.0797976124743235,-0.196483276618226,-0.947913633770401,0.53359825402159,0.384712296654342,0.05,0.313543599257885
"37.Cumulative",10,12.4452916896525,3.35921408361201,21.7970616688711,4.78785674845941,-2.44529168965251,-11.7970616688711,6.64078591638798,4.78785674845941,-0.196483276618226,-0.947913633770401,0.53359825402159,0.384712296654342,0.05,0.313543599257885
"38.Average",0.55,0.779405476036589,0.478403712764753,1.06577740428509,0.150852850653244,-0.229405476036589,-0.515777404285091,0.0715962872352468,0.150852850653244,-0.294333928987971,-0.661757480724805,0.0918601285679005,0.193548615311708,0.05,0.0677382319173364
"38.Cumulative",33,46.7643285621953,28.7042227658852,63.9466442571054,9.05117103919466,-13.7643285621953,-30.9466442571054,4.29577723411481,9.05117103919466,-0.294333928987971,-0.661757480724805,0.0918601285679005,0.193548615311708,0.05,0.0677382319173364
"39.Average",0.166666666666667,0.325537520463073,0.143154809406747,0.515635419299227,0.0947575266469437,-0.158870853796407,-0.34896875263256,0.02351185725992,0.0947575266469437,-0.488026245240225,-1.07197705547476,0.0722247230564226,0.291080200255111,0.05,0.0420841683366733
"39.Cumulative",10,19.5322512277844,8.5892885644048,30.9381251579536,5.68545159881662,-9.5322512277844,-20.9381251579536,1.4107114355952,5.68545159881662,-0.488026245240225,-1.07197705547476,0.0722247230564226,0.291080200255111,0.05,0.0420841683366733
"4.Average",0.216666666666667,0.295695813638414,0.10085917582705,0.488605154997094,0.103440957704519,-0.0790291469717471,-0.271938488330428,0.115807490839617,0.103440957704519,-0.267265018058005,-0.919656200012904,0.391643998657451,0.349822192041617,0.05,0.208416833667335
"4.Cumulative",13,17.7417488183048,6.051550549623,29.3163092998257,6.20645746227117,-4.74174881830483,-16.3163092998257,6.948449450377,6.20645746227117,-0.267265018058005,-0.919656200012905,0.391643998657451,0.349822192041617,0.05,0.208416833667335
"40.Average",0.333333333333333,0.558264367083681,0.303772990230243,0.847494457472607,0.14280936081521,-0.224931033750348,-0.514161124139274,0.0295603431030907,0.14280936081521,-0.402911321253344,-0.920999358825643,0.0529504386201668,0.255809557685424,0.05,0.0550550550550551
"40.Cumulative",20,33.4958620250209,18.2263794138146,50.8496674483564,8.56856164891257,-13.4958620250209,-30.8496674483564,1.77362058618544,8.56856164891257,-0.402911321253344,-0.920999358825643,0.0529504386201667,0.255809557685424,0.05,0.0550550550550551
"41.Average",0.15,0.347979039122881,0.162923181017155,0.529598177494104,0.0940710565201371,-0.197979039122881,-0.379598177494104,-0.0129231810171552,0.0940710565201371,-0.56893955343376,-1.09086506604226,-0.0371378145354086,0.270335410883522,0.05,0.0205479452054795
