Geo_Group,Community,,Geo_ID,N_Violent_19,Crowded_Housing_%_1216,Income_Diversity_1418,Vegetation_Index_17,Vacant_Housing_%_1216,Aerosol_Optical_Depth_17,Overall_Health_Status_%_1618,Foreign_Born_%_1216,Single_Parents_Households1216,Neighborhood_Safety_%_1618,Mobility Rate_2018,65+_%_2018,Total_Population_2018,Total_Population/1000,Big_Community(>66p),%_Poverty_2018,%_0-4_2018,%_5-17_2018,%_0-17,Covid_Cases_0905,Covid_Deaths_0905,Covid_Cases_Rate10k,Covid_Death_Rate10k,Has_Police,N_Active_Business_Licenses,Active_Bus_Rate_10k,Burglary_2019,Burglary_Rate_19_10k,Assault_2019,Assault_Rate_19_10k,Narcotics_2019,Narcotics_Rate_10k,Robbery_2019,Robbery_Rate_10k
11-Jefferson Park,11,Jefferson Park,11,10,2.970972141,64.8,0.31,7.1,0.162,89.2,29,3.8,97.4,4.7,16,26808,26.80800,0,7.8,6.2,13,19.2,738,46,275.2909579,102.689853,1,1324,493.8824232,40,14.92091913,66,24.61951656,12,4.476275739,13,4.8492987
12-Forest Glen,12,Forest Glen,12,6,1.13960114,58.8,0.43,6.5,0.184,83.7,17.3,5.3,95.4,1.9,17.8,18997,18.99700,0,4.4,6.7,18.3,25,1229,73,646.9442544,340.5507471,1,2190,1152.813602,44,23.16155182,32,16.84476496,4,2.10559562,2,1.0527978
13-North Park,13,North Park,13,10,4.298039216,66.3,0.38,8.8,0.177,93.5,40.4,7.3,96.1,3.9,20.6,18842,18.84200,0,14.4,7.1,15.1,22.2,2104,127,1116.654283,592.6410588,1,3345,1775.289247,39,20.69843966,58,30.78229487,7,3.715104554,16,8.4916676
14-Albany Park,14,Albany Park,14,63,8.969593565,65,0.25,9.3,0.163,76.4,43.7,9.3,87.1,9.5,9.4,51992,51.99200,1,18.5,6.9,15.7,22.6,2916,129,560.8555162,107.873426,1,5091,979.189106,106,20.38775196,166,31.92798892,61,11.73257424,75,14.4252962
15-Portage Park,15,Portage Park,15,62,3.468767883,64.6,0.27,8.7,0.154,86.6,32.4,7.6,90.9,9.9,12.2,64313,64.31300,1,12.3,5.8,15.1,20.9,2176,76,338.3452801,52.60915835,1,2974,462.4259481,140,21.76853824,258,40.11630619,45,6.997030149,56,8.7074153
16-Irving Park,16,Irving Park,16,56,4.214803211,64.5,0.27,9,0.157,82.5,31.1,7.8,83,8.3,9.4,54606,54.60600,1,10.9,7.3,13.4,20.7,2041,75,373.7684504,68.44823835,1,3885,711.4602791,123,22.52499725,183,33.51280079,43,7.874592536,44,8.0577226
17-Dunning,17,Dunning,17,14,2.085478888,64.7,0.33,5.8,0.166,86.2,31.4,7.9,94,4.4,16.4,43689,43.68900,1,9.3,6.1,14.9,21,927,30,212.181556,48.56635675,0,1298,297.0999565,84,19.22680766,122,27.92464923,16,3.662249079,11,2.5177962
18-Montclare,18,Montclare,18,10,5.475439387,65.4,0.28,11.4,0.159,85,30,9.6,79,7.4,15.1,13784,13.78400,0,13.9,6.5,15.3,21.8,927,30,672.5188624,487.8981881,0,1298,941.6715032,22,15.96053395,43,31.19558909,9,6.529309344,13,9.4312246
19-Belmont Cragin,19,Belmont Cragin,19,94,8.434996358,62.5,0.25,9.6,0.159,75.6,38.6,16.6,65,7.9,8.6,79956,79.95600,1,20.1,7.7,20.2,27.9,3734,116,467.0068538,58.40798111,1,3985,498.3991195,149,18.63524939,339,42.39831908,186,23.26279454,130,16.2589424
20-Hermosa,20,Hermosa,20,44,6.015468347,62.4,0.22,10.2,0.161,82.4,35.2,12.9,66.9,9.1,9.4,24144,24.14400,0,21.2,8.3,17.4,25.7,3594,129,1488.568588,616.5376857,1,4613,1910.619616,52,21.53744201,102,42.24652087,58,24.02253148,33,13.6679920
